Herrenberg Bahnhof,48.5935,8.8630
Herrenberg Verenaweg,48.59981,8.88535
Schwarenbergstr. Stuttgart,48.78525,9.20223
Reutlingen,48.4920,9.21923
Ehningen,48.6582,8.9408
Bopser,48.76555,9.18673
Rohrau,48.6237,8.9101
Banater Weg 30 Ehningen,48.65418,8.93175
Goldberg-Gymnasium Sindelfingen,48.69794,9.00835
Sindelfingen Spitzholz,48.72711,9.00541
Nebringen,48.5627,8.8481
Kuppingen,48.6113,8.8430
Tübingen,48.51758,9.05776
